nohup: 忽略输入
timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/04/30 22:21:10.156, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:10.156, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:11.156, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:11.156, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:12.156, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:12.156, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:13.156, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:13.156, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:14.157, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:21:14.157, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:15.157, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:15.157, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:16.157, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:21:16.157, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:17.157, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:17.158, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:18.158, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:21:18.158, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:19.158, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 69 %
2026/04/30 22:21:19.158, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:20.158, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 69 %
2026/04/30 22:21:20.158, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:21.159, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:21.159, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:22.159, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 68 %
2026/04/30 22:21:22.159, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:23.159, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:23.159, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:24.159, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:24.160, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:25.160, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:21:25.160, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:26.160, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:21:26.160, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:27.160, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 76 %
2026/04/30 22:21:27.161, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:28.161, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:21:28.161, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:29.161, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:21:29.161, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:30.161, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
